date,date,last,open,high,low,vol,var_%,close
2021-09-14,2021-09-14,"47.077,5",44950.2,47247.6,44718.7,65.33,4.73,47077.5
2021-09-15,2021-09-15,"48.130,6",47070.8,48436.5,46743.9,63.4,2.24,48130.6
2021-09-16,2021-09-16,"47.748,0",48132.3,48480.6,47040.3,60.91,-0.8,47748.0
2021-09-17,2021-09-17,"47.282,8",47748.2,48155.9,46788.8,50.16,-0.97,47282.8
2021-09-18,2021-09-18,"48.306,7",47283.9,48761.0,47070.5,43.64,2.17,48306.7
2021-09-19,2021-09-19,"47.238,7",48299.9,48341.9,46866.6,41.98,-2.21,47238.7
2021-09-20,2021-09-20,"42.870,6",47240.8,47323.9,42547.1,77.96,-9.25,42870.6
2021-09-21,2021-09-21,"40.651,3",43012.3,43619.3,39646.8,142.55,-5.18,40651.3
2021-09-22,2021-09-22,"43.551,6",40660.8,43976.7,40585.7,93.98,7.13,43551.6
2021-09-23,2021-09-23,"44.869,2",43550.7,44949.8,43090.1,74.54,3.03,44869.2
2021-09-24,2021-09-24,"42.819,9",44867.4,45112.0,40908.5,128.88,-4.57,42819.9
2021-09-25,2021-09-25,"42.686,8",42818.7,42959.3,41714.5,46.35,-0.31,42686.8
2021-09-26,2021-09-26,"43.203,4",42685.8,43907.3,40786.6,69.91,1.21,43203.4
2021-09-27,2021-09-27,"42.172,6",43200.9,44293.2,42143.9,54.12,-2.39,42172.6
2021-09-28,2021-09-28,"41.022,3",42169.9,42758.8,40906.4,60.01,-2.73,41022.3
2021-09-29,2021-09-29,"41.536,8",41023.1,42571.2,40815.0,48.21,1.25,41536.8
2021-09-30,2021-09-30,"43.823,3",41534.5,44101.2,41416.7,64.32,5.5,43823.3
2021-10-01,2021-10-01,"48.146,0",43824.4,48435.2,43292.9,94.66,9.86,48146.0
2021-10-02,2021-10-02,"47.666,9",48147.2,48306.9,47451.7,39.82,-1.0,47666.9
2021-10-03,2021-10-03,"48.200,1",47665.4,49165.2,47123.0,42.41,1.12,48200.1
2021-10-04,2021-10-04,"49.227,3",48200.4,49481.7,46958.6,66.92,2.13,49227.3
2021-10-05,2021-10-05,"51.469,3",49229.5,51872.4,49060.1,76.63,4.55,51469.3
2021-10-06,2021-10-06,"55.323,2",51470.0,55676.1,50439.5,116.26,7.49,55323.2
2021-10-07,2021-10-07,"53.783,9",55325.2,55325.6,53476.4,75.68,-2.78,53783.9
2021-10-08,2021-10-08,"53.914,7",53785.5,55977.9,53659.3,64.05,0.24,53914.7
2021-10-09,2021-10-09,"54.942,5",53924.1,55430.8,53711.7,64.65,1.91,54942.5
2021-10-10,2021-10-10,"54.687,7",54942.5,56432.2,54100.8,104.43,-0.46,54687.7
2021-10-11,2021-10-11,"57.477,3",54686.9,57814.1,54457.8,73.84,5.1,57477.3
2021-10-12,2021-10-12,"56.015,9",57480.6,57635.7,54155.4,74.85,-2.54,56015.9
2021-10-13,2021-10-13,"57.380,1",56014.5,57697.4,54314.4,73.62,2.44,57380.1
2021-10-14,2021-10-14,"57.345,8",57370.4,58506.5,56866.8,59.84,-0.06,57345.8
2021-10-15,2021-10-15,"61.672,5",57348.2,62892.8,56874.8,121.48,7.54,61672.5
2021-10-16,2021-10-16,"60.861,1",61669.2,62329.2,60161.9,49.93,-1.32,60861.1
2021-10-17,2021-10-17,"61.527,5",60865.5,61651.4,59143.4,53.39,1.09,61527.5
2021-10-18,2021-10-18,"62.056,3",61525.8,62623.6,60026.9,80.15,0.86,62056.3
2021-10-19,2021-10-19,"64.278,5",62030.2,64454.0,61451.0,80.16,3.58,64278.5
2021-10-20,2021-10-20,"65.979,1",64276.9,66967.1,63543.7,79.87,2.65,65979.1
2021-10-21,2021-10-21,"62.210,2",66004.6,66616.9,62092.1,105.38,-5.71,62210.2
2021-10-22,2021-10-22,"60.690,3",62200.8,63699.7,60055.7,75.69,-2.44,60690.3
2021-10-23,2021-10-23,"61.312,5",60693.2,61728.7,59738.3,37.05,1.03,61312.5
2021-10-24,2021-10-24,"60.866,5",61308.2,61469.9,59523.7,42.67,-0.73,60866.5
2021-10-25,2021-10-25,"63.067,0",60864.3,63694.8,60655.8,51.06,3.62,63067.0
2021-10-26,2021-10-26,"60.310,8",63067.5,63275.1,59907.3,57.13,-4.37,60310.8
2021-10-27,2021-10-27,"58.438,1",60312.5,61452.9,58112.6,88.11,-3.11,58438.1
2021-10-28,2021-10-28,"60.582,5",58437.2,62251.3,58128.1,88.47,3.67,60582.5
2021-10-29,2021-10-29,"62.242,8",60579.9,62952.2,60322.2,63.39,2.74,62242.8
2021-10-30,2021-10-30,"61.840,1",62245.0,62338.5,60786.0,40.51,-0.65,61840.1
2021-10-31,2021-10-31,"61.309,6",61842.2,62393.7,60005.7,50.06,-0.86,61309.6
2021-11-01,2021-11-01,"60.915,3",61310.1,62430.1,59612.7,61.21,-0.64,60915.3
2021-11-02,2021-11-02,"63.221,7",60912.2,64256.4,60651.5,65.26,3.79,63221.7
2021-11-03,2021-11-03,"62.918,5",63223.5,63508.6,60883.0,61.05,-0.48,62918.5
2021-11-04,2021-11-04,"61.412,6",62915.4,63077.6,60742.9,49.91,-2.39,61412.6
2021-11-05,2021-11-05,"60.974,3",61411.5,62560.3,60742.4,44.46,-0.71,60974.3
2021-11-06,2021-11-06,"61.483,9",60973.2,61543.2,60093.6,34.89,0.84,61483.9
2021-11-07,2021-11-07,"63.273,2",61483.8,63273.2,61347.2,34.34,2.91,63273.2
2021-11-08,2021-11-08,"67.527,9",63276.4,67763.3,63276.4,81.08,6.72,67527.9
2021-11-09,2021-11-09,"66.904,4",67528.7,68493.3,66334.9,66.13,-0.92,66904.4
2021-11-10,2021-11-10,"64.932,6",66942.6,68990.6,62951.3,96.21,-2.95,64932.6
